id,word,reading,meaning,sentence,tags
1,男性,だんせい,"мужчина, мужской пол, мужественность",理想の男性と結婚する,Unit01
2,女性,じょせい,"женщина, женский пол, женственность",あの女性は誰ですか,Unit01
3,高齢,こうれい,преклонный возраст,祖母は高齢だが、まだとても元気だ,Unit01
4,年上,としうえ,старший по возрасту,年上の友達,Unit01
5,目上,めうえ,"начальство, старшие",目上の人には敬語で話したほうがいい,Unit01
6,先輩,せんぱい,"старший товарищ, старший по курсу",田中さんと私は同じ年だが、職場では彼のほうが先輩だ,Unit01
7,後輩,こうはい,"младший товарищ, молодое поколение",田中さんと私は同じ年だが、職場では彼のほうが先輩だ,Unit01
8,上司,じょうし,"старший по чину, начальник",上司に相談してから、決定する,Unit01
9,相手,あいて,"партнёр, собеседник",相手の目を見て話す,Unit01
10,知り合い,しりあい,знакомство,知り合いに息子の就職を頼む,Unit01
11,友人,ゆうじん,"друг, приятель",学生時代の友人です,Unit01
12,仲,なか,отношения с кем-либо,私は山本さんと仲がいい,Unit01
13,生年月日,せいねんがっぴ,дата рождения,書類に生年月日を記入する,Unit01
14,誕生,たんじょう,рождение,新しい命の誕生を祝う,Unit01
15,年,とし,год,年の始に一年の計画を立てる,Unit01
16,出身,しゅっしん,"родом из, выпускник",ご出身はどちらですか,Unit01
17,故郷,こきょう,"родные места, родная деревня",仕事は忙しくて、もう何年も故郷に帰っていない,Unit01
18,成長,せいちょう,рост,子供の成長を喜ぶ,Unit01
19,成人,せいじん,совершеннолетний,日本では二十歳以上の人を成人という,Unit01
20,合格,ごうかく,соответствовать требованиям,大学に合格する,Unit01
21,進学,しんがく,поступление в учебное заведение более высокой ступени,子供の進学について考える,Unit01
22,退学,たいがく,выход из учебного заведения,退学の理由を説明する,Unit01
23,就職,しゅうしょく,поступление на работу; поиск работы,旅行会社に就職する,Unit01
24,退職,たいしょく,выход на пенсию,母の介護のため、退職を決めた,Unit01
25,失業,しつぎょう,безработица,会社が倒産して失業した,Unit01
26,残業,ざんぎょう,"сверхурочная работа, переработка",残業が多くて疲れた,Unit01
27,生活,せいかつ,образ жизни,健康的な生活を送る,Unit01
28,通勤,つうきん,поездки на работу,私は毎日一時間かけて通勤している,Unit01
29,学歴,がくれき,"история образования, полученное образование",学歴が高くても、実力があるかどうかは分からない,Unit01
30,給料,きゅうりょう,зарплата,会社から給料を貰う,Unit01
31,面接,めんせつ,собеседование,今日会社の人との面接がある,Unit01
32,休憩,きゅうけい,"отдых, перемена, перерыв",ではここで、十分間の休憩です,Unit01
33,観光,かんこう,туризм,来日の目的は観光です,Unit01
34,帰国,きこく,возвращение на родину,今度の正月には帰国するつもりだ,Unit01
35,帰省,きせい,"посещение родины, поездка в родные места",お盆には故郷に帰省する日本人が多い,Unit01
36,帰宅,きたく,возвращение домой (с работы и т.п.),毎日忙しくて帰宅が遅い,Unit01
37,参加,さんか,"участвовать, принимать участие",ボランティア活動に参加する,Unit01
38,出席,しゅっせき,присутствовать,ミーティングに出席する,Unit01
39,欠席,けっせき,отсутствовать,授業を欠席する,Unit01
40,遅刻,ちこく,опоздание,寝坊して授業に遅刻する,Unit01
41,化粧,けしょう,косметика,あなたは毎日、お化粧に何分ぐらいかけていますか,Unit01
42,計算,けいさん,вычисление,私は計算が苦手だ,Unit01
43,計画,けいかく,планы,来年の計画を立てる,Unit01
44,成功,せいこう,успех,実験に成功する,Unit01
45,失敗,しっぱい,"провал, ошибка",実験の失敗で、計画は中止になった,Unit01
46,準備,じゅんび,подготовка,引っ越しの準備が終わった,Unit01
47,整理,せいり,"организация, приборка",資料の整理,Unit01
48,注文,ちゅうもん,заказ,注文の品が届く,Unit01
49,貯金,ちょきん,банковский вклад,貯金が増える,Unit01
50,徹夜,てつや,бессонная ночь,徹夜が続く,Unit01
51,引っ越し,ひっこし,переезд,引っ越しを手伝う,Unit01
52,身長,しんちょう,рост человека,身長を測る,Unit01
53,体重,たいじゅう,вес,体重を測る,Unit01
54,けが,けが,рана,小さな怪我,Unit01
55,会,かい,вечеринка,忘年会を開く,Unit01
56,趣味,しゅみ,хобби,趣味は読書です,Unit01
57,興味,きょうみ,интерес к чему-либо,私は歴史に興味がある,Unit01
58,思い出,おもいで,воспоминания,子供の頃の思い出,Unit01
59,冗談,じょうだん,шутка,冗談を言ったら皆が本気にした,Unit01
60,目的,もくてき,"цель, задача",日本に来た目的は大学への入学だ,Unit01
61,約束,やくそく,обещание,彼と結婚の約束をした,Unit01
62,おしゃべり,おしゃべり,"разговор, болтовня",授業中に隣の人とお喋りしていて、先生に怒られた,Unit01
63,遠慮,えんりょ,"стыд, стеснение",遠慮しないで、食べてください,Unit01
64,我慢,がまん,терпение,痛くても我慢する,Unit01
65,迷惑,めいわく,"беспокойство, стеснение, тягость",人に迷惑をかけてはいけない,Unit01
66,希望,きぼう,"надежды, пожелания",最後まで希望を捨ててはいけない,Unit01
67,夢,ゆめ,"сон, мечта",昨日怖い夢を見た,Unit01
68,賛成,さんせい,"""Согласен!""",賛成の人は手を挙げてください,Unit01
69,反対,はんたい,быть против,プラスの反対はマイナスだ,Unit01
70,想像,そうぞう,воображение,想像と現実は違う,Unit01
71,努力,どりょく,"старания, усилия",一生懸命努力をする,Unit01
72,太陽,たいよう,солнце,太陽が昇って、暖かくなった,Unit01
73,地球,ちきゅう,Земля,地球の環境が悪化している,Unit01
74,温度,おんど,температура воздуха,温度を測る,Unit01
75,湿度,しつど,"влажность, уровень влажности",今年の夏は特に湿度が高い,Unit01
76,湿気,しっけ,"влажность, сырость",日本の夏は湿気が多い,Unit01
77,梅雨,つゆ,сезон дождей,六月から七月は梅雨の時期だ,Unit01
78,かび,かび,плесень,梅雨の時期はかびが生えやすい,Unit01
79,暖房,だんぼう,отпление,寒いので暖房をつける,Unit01
80,皮,かわ,кожура,果物の皮,Unit01
81,缶,かん,"банка, жестянка",お菓子をカンに入れて保存する,Unit01
82,画面,がめん,экран,パソコンの画面をずっと見ていると、目が疲れる,Unit01
83,番組,ばんぐみ,передача,テレビの番組を見る,Unit01
