id,word,reading,meaning,kanjihidden,tags
1.1,駐車,ちゅうしゃ,парковка,ちゅう車,第1週1日目
1.2,駐車場,ちゅうしゃじょう,"стоянка, парковочное место",ちゅう車場,第1週1日目
2.1,無休,むきゅう,без выходных,む休,第1週1日目
2.3,無理(な),むり,невозможный,む理(な),第1週1日目
2.2,無料,むりょう,бесплатный,む料,第1週1日目
2.4,無い,ない,нет; не быть; не иметься,ない,第1週1日目
3.1,満車,まんしゃ,заполнено (машинами),まん車,第1週1日目
3.3,不満(な),ふまん,"недовольство, неудовлетворенность",不まん(な),第1週1日目
3.2,満員,まんいん,«мест нет»; «все билеты проданы»;,まん員,第1週1日目
4.1,方向,ほうこう,направление,方こう,第1週1日目
4.3,向かう,むかう,идти против; направляться,むかう,第1週1日目
4.2,向こう,むこう,та сторона; противоположная сторона; вон там,むこう,第1週1日目
4.4,〇〇向き,むき,"пригодность, используемость для чего-л., ориентированность",〇〇むき,第1週1日目
5.1,禁止,きんし,запрет,きん止,第1週1日目
6.1,関心,かんしん,"интерес, заинтересованность",かん心,第1週1日目
6.2,関する,かんする,иметь отношение,かんする,第1週1日目
7.1,関係,かんけい,"отношение, причастность",かん係,第1週1日目
7.2,係,かかり,ответственность; ответст. лицо,かかり,第1週1日目
8.1,無断,むだん,"без спросу, без разрешения",無だん,第1週1日目
8.3,断る,ことわる,"отклонять, отказывать",ことわる,第1週1日目
8.2,断水,だんすい,приостановка подачи воды,だん水,第1週1日目
9.1,横断,おうだん,пересечение,おう断,第1週2日目
9.3,横,よこ,сторона,よこ,第1週2日目
9.2,横断歩道,おうだんほどう,пешеходный переход,おう断歩道,第1週2日目
10.1,押す,おす,толкать,おす,第1週2日目
10.3,押し入れ,おしいれ,стенной шкаф,おし入れ,第1週2日目
10.2,押さえる,おさえる,"надавить, придавить",おさえる,第1週2日目
11.1,押しボタン式,おしぼたんしき,… с кнопкой,押しボタンしき,第1週2日目
11.3,数式,すうしき,мат. формула,数しき,第1週2日目
11.2,入学式,にゅうがくしき,церемония поступления,入学しき,第1週2日目
12.1,送信,そうしん,передача (сообщения),送しん,第1週2日目
12.3,自信,じしん,уверенность (в себе),自しん,第1週2日目
12.2,信じる,しんじる,верить,しんじる,第1週2日目
12.4,信用,しんよう,доверие; репутация,しん用,第1週2日目
13.1,信号,しんごう,светофор,信ごう,第1週2日目
13.2,〜号車,ごうしゃ,вагон номер...,〜ごう車,第1週2日目
14.1,正確(な),せいかく,"правильный, верный",正かく(な),第1週2日目
14.2,確かめる,たしかめる,проверять; уточнять; удостоверяться; убеждаться; справляться,たしかめる,第1週2日目
14.3,確か(な),たしか,"достоверный, -ни наверняка",たしか(な),第1週2日目
15.1,確認,かくにん,подтверждение,確にん,第1週2日目
15.2,認める,みとめる,"признавать, замечать",みとめる,第1週2日目
16.1,飛行場,ひこうき,аэродром,ひ行場,第1週2日目
16.2,飛ぶ,とぶ,летать,とぶ,第1週2日目
17.1,非常(の),ひじょう,чрезвычайная ситуация,ひ常(な),第1週3日目
17.2,非常に,ひじょうに,чрезвычайно,ひ常に,第1週3日目
17.3,非常口,ひじょうぐち,аварийный выход,ひ常口,第1週3日目
18.1,日常(の),にちじょう,повседневный,日じょう(の),第1週3日目
18.2,正常(な),せいじょう,нормальный,正じょう(な),第1週3日目
19.1,〜階,かい,этаж,〜かい,第1週3日目
20.1,階段,かいだん,лестница,階だん,第1週3日目
21.1,箱,はこ,коробка,はこ,第1週3日目
21.2,ごみ箱,ごみばこ,корзина для мусора,ごみごみ箱,第1週3日目
22.1,危険(な),きけん,опасность,き険(な),第1週3日目
22.2,危ない,あぶない,опасный,あぶない,第1週3日目
23.1,危険(な),きけん,опасность,危けん(な),第1週3日目
24.1,捨てる,すてる,выбрасывать,すてる,第1週3日目
25.1,線,せん,линия,せん,第1週4日目
25.2,〜番線,ばんせん,ж.-д. путь номер...,〜番せん,第1週4日目
26.1,全面,ぜんめん,вся поверхность,全めん,第1週4日目
26.2,画面,がめん,экран,画めん,第1週4日目
26.3,〇〇方面,ほうめん,местность; район,〇〇方めん,第1週4日目
27.1,普通(の),ふつう,обычный,ふ通(の),第1週4日目
28.1,各駅,かくえき,каждая станция,かく駅,第1週4日目
28.3,各自,かくじ,каждый (о человеке),かく自,第1週4日目
28.2,各国,かっこく,каждая страна,かっ国,第1週4日目
29.1,目次,もくじ,оглавление,目じ,第1週4日目
29.3,次,つぎ,следующий,つぎ,第1週4日目
29.2,次回,じかい,в следующий раз,じ回,第1週4日目
30.1,快速,かいそく,высокая скорость,かい速,第1週4日目
31.1,高速道路,こうそくどうろ,высокоскоростное шоссе,高そく道路,第1週4日目
31.3,速い,はやい,быстрый; скорый,はやい,第1週4日目
31.2,速度,そくど,скорость; темп,そく度,第1週4日目
32.1,通過,つうか,прохождение; проезд; следование,通か,第1週4日目
32.3,過ぎる,すぎる,"проходить (о времени, событиях)",すぎる,第1週4日目
32.2,過去,かこ,прошлое,か去,第1週4日目
33.1,地下鉄,ちかてつ,метро,地下てつ,第1週4日目
33.3,鉄,てつ,железо,てつ,第1週4日目
33.2,鉄道,てつどう,ж/д,てつ道,第1週4日目
34.1,指定,してい,"назначение, предназначение",し定,第1週5日目
34.3,指,ゆび,палец,ゆび,第1週5日目
34.2,指定席,していせき,указанное место (зарезервированное),し定席,第1週5日目
34.4,指輪,ゆびわ,"кольцо, перстень",ゆび輪,第1週5日目
35.1,定休日,ていきゅうび,нерабочий день (фиксированный),てい休日,第1週5日目
35.2,安定,あんてい,стабильность,安てい,第1週5日目
36.1,席,せき,место; сиденье,せき,第1週5日目
36.2,出席,しゅっせき,присутствие,出せき,第1週5日目
36.3,欠席,けっせき,отсутствие,欠せき,第1週5日目
37.1,自由(な),じゆう,свобода,自ゆう(な),第1週5日目
37.3,理由,りゆう,причина,理ゆう,第1週5日目
37.2,自由席,じゆうせき,свободное место (для сидения),自ゆう席,第1週5日目
38.1,番号,ばんごう,номер,ばん号,第1週5日目
38.3,〜番線,ばんせん,ж.-д. путь номер...,ばん線,第1週5日目
38.2,〜番,ばん,номер,〜ばん,第1週5日目
39.1,窓,まど,окно,まど,第1週5日目
39.2,窓口,まどぐち,окошко (кассы и т.п.),まど口,第1週5日目
40.1,両側,りょうがわ,обе стороны,両がわ,第1週5日目
40.2,窓側,まどがわ,сиденье у окна,窓がわ,第1週5日目
40.3,右側,みぎがわ,правая сторона,右がわ,第1週5日目
41.1,通路,つうろ,"проход, коридор",通ろ,第1週5日目
41.3,線路,せんろ,ж/д линия,線ろ,第1週5日目
41.2,道路,どうろ,дорога,道ろ,第1週5日目
42.1,停車,ていしゃ,остановка (транспорта),てい車,第1週6日目
42.2,バス停,バスてい,автобусная остановка,バスてい,第1週6日目
43.1,整理,せいり,"упорядочение, урегулирование",せい理,第1週6日目
43.2,整理券,せいりけん,нумерованный билет,せい理券,第1週6日目
44.1,駐車券,ちゅうしゃけん,парковочный талон,駐車けん,第1週6日目
44.3,回数券,かいすうけん,билетная книжка,回数けん,第1週6日目
44.2,乗車券,じょうしゃけん,проездной билет,乗車けん,第1週6日目
45.1,現金,げんきん,наличные,げん金,第1週6日目
45.3,現れる,あらわれる,"появляться, показываться",あらわれる,第1週6日目
45.2,表現,ひょうげん,выражение,表げん,第1週6日目
46.1,両親,りょうしん,родители,りょう親,第1週6日目
46.2,〜両,りょう,"сч. суф. повозок, вагонов",〜りょう,第1週6日目
47.1,取り替える,とりかえる,"менять, обменивать",取りかえる,第1週6日目
47.3,着替える,きがえる,переодеться,着がえる,第1週6日目
47.2,両替,りょうがえ,обмен валюты,両がえ,第1週6日目
